Financial Year,Reporting Period,Activity Month,Breakdown,CCG code,CCG name,Provider code,Provider name,Specific acute specialties: Ordinary Elective,Specific acute specialties: Daycase Elective,Specific acute specialties: Elective total,Specific acute specialties: Non-Elective,Specific acute specialties: First attendances seen - GP referrals,Specific acute specialties: First attendances seen - other referrals,Specific acute specialties: First attendances seen total,Specific acute specialties: First attendances DNA,Specific acute specialties: Subsequent attendances seen,Specific acute specialties: Subsequent attendances DNA,All specialties: Ordinary Elective,All specialties: Daycase Elective,All specialties: Elective total,All specialties: Non-Elective,All specialties: First attendances seen - GP referrals,All specialties: First attendances seen - other referrals,All specialties: First attendances seen total,All specialties: First attendances DNA,All specialties: Subsequent attendances seen,All specialties: Subsequent attendances DNA
2025-26,13,Jul 2025,CCGProv,99A,NHS CHESHIRE AND MERSEYSIDE ICB - 99A,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,*,0,0,0,0,*,0,0,0,0,*,0,0,0,0,*,0
2025-26,13,Jul 2025,CCGProv,99A,NHS CHESHIRE AND MERSEYSIDE ICB - 99A,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,0,0,*,*,0,*,0,0,0,0,0,0,*,*,0,*,0
2025-26,13,Jul 2025,CCGProv,99C,NHS NORTH EAST AND NORTH CUMBRIA ICB - 99C,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0
2025-26,13,Jul 2025,CCGProv,99E,NHS MID AND SOUTH ESSEX ICB - 99E,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,*,*,*,0,*,*,0,0,0,0,*,*,*,0,*,*
2025-26,13,Jul 2025,CCGProv,99E,NHS MID AND SOUTH ESSEX ICB - 99E,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,*,0,0,0,0,*,0,0,0,0,*,0,0,0,0,*,*
2025-26,13,Jul 2025,CCGProv,99F,NHS MID AND SOUTH ESSEX ICB - 99F,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,*,*,0,*,0,0,0,0,0,0,*,*,0,*,0
2025-26,13,Jul 2025,CCGProv,99F,NHS MID AND SOUTH ESSEX ICB - 99F,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0
2025-26,13,Jul 2025,CCGProv,99G,NHS MID AND SOUTH ESSEX ICB - 99G,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,*,*,0,0,0,0,0,0,0,0,*,*,0,0,0
2025-26,13,Jul 2025,CCGProv,99G,NHS MID AND SOUTH ESSEX ICB - 99G,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,*,*,*,0,*,*,0,*,0,0,*,*,*,0,*,*,0,*,0
2025-26,13,Jul 2025,CCGProv,A3A8R,NHS NORTH EAST LONDON ICB - A3A8R,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,*,0,*,*,0,*,*,0,15,*,*,0,*,*,0,10,10,0,15,*
2025-26,13,Jul 2025,CCGProv,A3A8R,NHS NORTH EAST LONDON ICB - A3A8R,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,*,0,*,15,*,*,*,*,15,*,*,0,*,15,*,*,*,*,15,*
2025-26,13,Jul 2025,CCGProv,B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB - B2M3M,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
2025-26,13,Jul 2025,CCGProv,B2M3M,NHS COVENTRY AND WARWICKSHIRE ICB - B2M3M,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,0,*,*,*,0,*,*,0,*,0,0,*,*,*,0,*,*,0,*,0
