INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,0.9949,2,102280,2700,2715,0.9418,1.0607,0.8521,1.1735
I00699,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1.1789,1,68245,3045,2580,0.9403,1.0623,0.852,1.1738
I00699,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,0.9586,2,43915,1290,1350,0.9179,1.0871,0.8484,1.1787
I00699,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9241,2,66020,1715,1855,0.9298,1.0739,0.8504,1.1759
I00699,RWJ,STOCKPORT NHS FOUNDATION TRUST,0.9097,2,56410,1780,1960,0.9316,1.0718,0.8507,1.1755
I00699,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,0.9529,2,62595,1875,1965,0.9317,1.0717,0.8507,1.1755
I00699,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,1.1455,2,30605,1440,1255,0.9151,1.0903,0.8478,1.1795
I00699,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,0.9833,2,90280,2450,2490,0.9392,1.0635,0.8518,1.174
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,0.8832,2,45405,850,960,0.9033,1.1037,0.8455,1.1828
I00699,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,0.8843,2,113700,2740,3100,0.9454,1.0567,0.8526,1.1729
I00699,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1.0355,2,43010,1490,1440,0.9205,1.0842,0.8489,1.1781
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1.1544,2,36890,1600,1385,0.9191,1.0858,0.8486,1.1784
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1.1965,1,38145,1610,1345,0.9178,1.0872,0.8484,1.1787
I00699,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,0.941,2,109445,2575,2740,0.942,1.0605,0.8522,1.1735
I00699,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,0.9553,2,80775,2835,2970,0.9442,1.058,0.8525,1.1731
I00699,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,0.9403,2,44740,1820,1940,0.9313,1.0722,0.8506,1.1756
I00699,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,1.028,2,90380,3525,3425,0.948,1.0539,0.8529,1.1724
I00699,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,0.8331,3,70350,1110,1335,0.9175,1.0875,0.8483,1.1788
I00699,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,0.8403,3,101930,2795,3325,0.9473,1.0548,0.8528,1.1726
I00699,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,0.926,2,256000,6960,7515,0.9647,1.0362,0.8546,1.1702
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,0.8823,2,113565,2385,2705,0.9416,1.0609,0.8521,1.1735
I00699,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1.1682,2,96910,2860,2450,0.9387,1.064,0.8517,1.1741
I00699,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,0.8595,2,103010,3555,4135,0.9526,1.049,0.8534,1.1717
I00699,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,0.9265,2,141275,4565,4930,0.9566,1.0448,0.8539,1.1712
I00699,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,0.939,2,190750,4130,4400,0.9541,1.0475,0.8536,1.1715
I00699,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1.296,1,59000,1910,1475,0.9215,1.0831,0.849,1.1778
I00699,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,1.1958,1,127650,4370,3655,0.9497,1.0522,0.8531,1.1722
I00699,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,1.0894,2,78935,2610,2395,0.9381,1.0647,0.8516,1.1742
I00699,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,1.0144,2,160780,5070,4995,0.9569,1.0445,0.8539,1.1711
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,0.9578,2,78525,1830,1910,0.9308,1.0727,0.8506,1.1757
I00699,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,0.9745,2,74140,1970,2020,0.9327,1.0707,0.8509,1.1753
I00699,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,0.9909,2,44695,1550,1560,0.9236,1.0807,0.8494,1.1773
I00699,RKE,WHITTINGTON HEALTH NHS TRUST,0.8832,2,25465,535,605,0.8792,1.1319,0.8397,1.1909
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1.0185,2,69580,1985,1950,0.9315,1.072,0.8507,1.1755
I00699,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,1.0805,2,63560,3110,2880,0.9434,1.0589,0.8524,1.1732
I00699,RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0191,2,48105,1665,1630,0.9252,1.0789,0.8497,1.1769
I00699,RLQ,WYE VALLEY NHS TRUST,1.1319,2,27405,1340,1185,0.9126,1.0931,0.8474,1.1801
I00699,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,0.8849,2,105515,3060,3455,0.9483,1.0537,0.853,1.1724
